BLACKLISTED_NAMES,"george,minnie,mimmie,duncan,abbott,abbé,laura,gyiyg,giegue,giygas,mary,maria,maría,eve,ève","george,minnie,mimmie,duncan,abbott,abbé,laura,gyiyg,giegue,giygas,mary,maria,maría,eve,ève","george,minnie,mimmie,duncan,abbott,abbé,laura,gyiyg,giegue,giygas,mary,maria,maría,eve,ève","ジョージ,ミニー,ミミー,アボット！,ローラ,ギーグ,マリー,マリア,イヴ,ｇｅｏｒｇｅ,ｍｉｎｎｉｅ,ｍｉｍｍｉｅ,ｄｕｎｃａｎ,ａｂｂｏｔｔ,ｌａｕｒａ,ｇｙｉｙｇ,ｇｉｅｇｕｅ,ｇｉｙｇａｓ,ｍａｒｙ,ｍａｒｉａ,ｅｖｅ","조지,미니,미미,애봇,로라,기그,마리,마리아,이브,george,minnie,mimmie,duncan,abbott,laura,gyiyg,giegue,giygas,mary,maria,eve","george,minnie,mimmie,duncan,abbott,abbé,laura,gyiyg,giegue,giygas,mary,maria,maría,eve,ève","george,minnie,mimmie,duncan,abbott,abbé,laura,gyiyg,giegue,giygas,mary,maria,maría,eve,ève","george,minnie,mimmie,duncan,abbott,abbé,laura,gyiyg,giegue,giygas,mary,maria,maría,eve,ève","george,minnie,mimmie,duncan,abbott,abbé,laura,gyiyg,giegue,giygas,mary,maria,maría,eve,ève","george,minnie,mimmie,duncan,abbott,abbé,laura,gyiyg,giegue,giygas,mary,maria,maría,eve,ève","джордж,минни,мінні,мимми,міммі,дункан,эббот,еббот,лаура,лора,гигу,гігу,гийгас,гійгас,гайгас,гійгас,мэри,мері,мария,марія,ева,єва,george,minnie,mimmie,duncan,abbott,laura,gyiyg,giegue,giygas,mary,maria,maría,eve","джордж,минни,мінні,мимми,міммі,дункан,эббот,еббот,лаура,лора,гигу,гігу,гийгас,гійгас,гайгас,гійгас,мэри,мері,мария,марія,ева,єва,george,minnie,mimmie,duncan,abbott,laura,gyiyg,giegue,giygas,mary,maria,maría,eve","george,minnie,mimmie,duncan,abbott,laura,gyiyg,giegue,giygas,mary,maria,eve",
NAME_BLOCKED,Please change this name.,Veuillez changer ce nom.,"Per favore, cambia nome.",この　なまえは　つけれない,이름을 변경해 주십시오.,No puedes poner este nombre.,No puedes usar este nombre.,"Por favor, escolha outro nome.","Proszę, zmień to imię.",Bitte nimm einen anderen Namen.,Измените имя.,"Змініть це ім'я, будь ласка.",请换一个名字。,
NAME_DUPLICATED,This name's already taken!,Ce nom est déjà pris ¦,Questo nome è già stato usato!,おなじ　なまえは　つけれない,이 이름은 사용 중입니다.,¡Ya has elegido este nombre!,¡Ya has elegido este nombre!,Esse nome já foi usado!,To imię jest już zajęte!,Der Name wird bereits verwendet!,Это имя уже занято!,Це ім'я вже зайнято!,这个名字已经被使用了！,
MENU_MENU,Menu,Menu,Menù,メニュー,메뉴,Menú,Menú,Menu,Menu,Menü,Меню,Меню,菜单,
MENU_GOODS,Goods,Objets,Oggetti,グッズ,소지품,Objetos,Objetos,Itens,Przedmioty,Items,Вещи,Інвентар,道具,
MENU_PSI,PSI,PSI,PSI,ＰＳＩ,PSI,PSI,PSI,PSI,PSI,PSI,Психокинез,Психокінез,PSI,
MENU_EQUIP,Equip,Équip.,Equipagg.,そうび,장비,Equipar,Equipar,Equipar,Ekwipunek,Ausrüsten,Снаряжение,Спорядження,装备,
MENU_STATUS,Status,Statut,Stato,つよさ,상태,Estado,Estado,Condições,Status,Status,Информация,Статус,状态,
MENU_MAP,Map,Carte,Mappa,マップ,지도,Mapa,Mapa,Mapa,Mapa,Karte,Карта,Мапа,地图,
MENU_OPTIONS,Options,Options,Opzioni,せってい,옵션,Opciones,Opciones,Opções,Opcje,Optionen,Настройки,Параметри,选项,
MENU_SKILLS,Skills,Talents,Abilità,スキル,스킬,Habilidades,Técnicas,Habilidades,Umiejętności,Fähigkeiten,Навыки,Навички,技能,
EQUIP_WEAPON,Weapon,Arme,Arma,ぶき,무기,Arma,Arma,Arma,Broń,Waffe,Оружие,Зброя,武器,
EQUIP_BODY,Body,Corps,Corpo,ボディ,몸,Cuerpo,Cuerpo,Corpo,Ciało,Körper,Тело,Тіло,身体,
EQUIP_HEAD,Head,Tête,Testa,あたま,머리,Cabeza,Cabeza,Cabeça,Głowa,Kopf,Голова,Голова,头部,
EQUIP_ARMS,Arms,Bras,Braccia,うで,팔,Brazos,Brazo,Braços,Ręce,Arme,Руки,Руки,手臂,
EQUIP_OTHER,Other,Autre,Altro,そのた,기타,Otro,Otro,Outro,Inne,Anderes,Прочее,Інше,其他,
EQUIP_NONE,None,Aucun,Niente,なし,없음,Nada,Nada,Nada,Nic,Nichts,Ничего,Нічого,空,
EQUIP_EMPTY,______,______,______,－－－－－－,______,______,______,- - -,______,______,______,______,______,
MENU_AILMENTS_SEPARATOR,", ",", ",", ",、,", ",", ",", ",", ",", ",", ",", ",", ",，,
MENU_AILMENTS_AND, and , et , e ,と, 그리고 , y , y , e , i , und , и , і ,和,
MENU_AILMENTS_AND_MORE, and more, et..., e altro,など, 등, y..., y..., e..., i więcej, und weitere, и ещё..., і ще...,以及更多,
MAP_404,No map available,Aucune carte disponible,Mappa non disponibile,マップがない,지도 없음,Mapa no disponible,Mapa no disponible,Mapa indisponível,Mapa niedostępna,Keine Karte verfügbar,Карта недоступна,Мапа недоступна,没有可用地图,
MAP_FASTSCROLL,Speed Up,Défilement rapide,Velocizza,SPEED UP,빠르게,Acelerar,Acelerar,Acelerar,Przyspiesz,Schneller,Ускорить,Прискорити,加速预览,
MAP_MARKERS,Markers,Marqueurs,Indicatori,ICON,마커,Marcadores,Marcadores,Marcadores,Znaczniki,Symbole,Метки,Позначки,地图标记,
MAP_CLOSE,Close,Fermer,Chiudi,Close,닫기,Cerrar,Cerrar, Fechar,Zamknij,Schließen,Закрыть,Закрити,关闭,
MENU_TITLE_GOODS,Goods,Objets,Oggetti,グッズ,소지품,Objetos,Objetos,Itens,Przedmioty,Items,Вещи,Інвентар,道具,
MENU_TITLE_PSI,PSI,PSI,PSI,ＰＳＩ,PSI,PSI,PSI,PSI,PSI,PSI,Психокинез,Психокінез,PSI,
MENU_TITLE_EQUIP,Equip,Équipement,Equipaggiamento,そうび,장비,Equipamiento,Equipo,Equipar,Ekwipunek,Ausrüsten,Снаряжение,Спорядження,装备,
MENU_TITLE_STATUS,Status,Statut,Stato,ステータス,상태,Estado,Estado,Condições,Status,Status,Информация,Статус,状态,
MENU_TITLE_OPTIONS,Options,Options,Opzioni,せってい,옵션,Opciones,Opciones,Opções,Opcje,Optionen,Настройки,Параметри,选项,
MENU_TITLE_STORAGE,Storage,Stockage,Deposito,あずけや,창고,Almacenamiento,Almacenamiento,Armário,Magazyn,Lager,На хранение,Склад,寄存,
INVENTORY_SWAP,Swap Items,Échanger,Scambia oggetti,いれかえ,아이템 교체,Intercambiar,Intercambiar,Trocar itens,Zamień przedmioty,Item tauschen,Обмен вещами,Обмін речами,替换物品,
INVENTORY_DESCRIPTION,Description,Description,Descrizione,INFO,설명,Descripción,Descripción,Descrição,Opis,Beschreibung,Описание,Опис,描述,
INVENTORY_ACTION_GIVE,Give,Donner,Dai,わたす,건네주기,Dar,Dar,Dar,Daj,Geben,Отдать,Дати,转交,
INVENTORY_ACTION_SORT,Sort,Trier,Ordina,ならびかえ,정렬,Ordenar,Ordenar,Organizar,Sortuj,Sortieren,Переставить,Впорядкувати,分类,
INVENTORY_ACTION_DROP,Drop,Jeter,Butta,すてる,버리기,Soltar,Tirar,Jogar fora,Wyrzuć,Wegwerfen,Выбросить,Викинути,丢弃,
INVENTORY_ACTION_USE,Use,Utiliser,Usa,つかう,사용하기,Usar,Usar,Usar,Użyj,Benutzen,Использовать,Використати,使用,
INVENTORY_ACTION_EQUIP,Equip,Équiper,Equipaggia,そうび,장비,Equipar,Equipar,Equipar,Ekwipuj,Ausrüsten,Экипироваться,Спорядити,装备,
INVENTORY_ACTION_UNEQUIP,Unequip,Retirer,Disequipaggia,はずす,장비 해제,Desequipar,Quitar,Desequipar,Zdejmij,Abnehmen,Убрать,Роззброїти,卸下,
INVENTORY_ACTION_GIVE_TARGET,To whom?,À qui ?,A chi?,だれに？,누구에게?,¿A quién?,¿A quién?,Para quem?,Komu?,Zu wem?,Кому?,Кому?,给谁？,
INVENTORY_ACTION_USE_TARGET,On whom?,Sur qui ?,Su chi?,だれに？,누구에게?,¿En quién?,¿En quién?,Em quem?,Na kim?,Auf wen?,На ком?,На кому?,为谁？,
INVENTORY_ACTION_TARGET,Who?,Qui ?,Chi?,だれ？,누가?,¿Quién?,¿Quién?,Quem?,Kto?,Wer?,Кому?,Кому?,对谁？,
INVENTORY_ACTION_TARGET_ALL,All,Tout le monde,Tutti,ぜんいん,모두,Todos,Todos,Todos,Wszyscy,Alle,Всем,Усі,全部,
INVENTORY_ACTION_SORT_HOW,How?,Comment ?,Come?,どうやって？,어떻게?,¿Cómo?,¿Cómo?,Como?,Jak?,Wie?,Как?,Як?,如何？,
INVENTORY_ACTION_SORT_MANUAL,Manual,Manuellement,Manualmente,マニュアル,수동,Manualmente,,,Ręcznie,Manuell,Вручную,Вручну,手动,
INVENTORY_ACTION_SORT_AUTO,Auto,Automatiquement,Automaticamente,オート,자동,,Automático,Automático,Automatycznie,,Упорядочить всё,Автоматично,自动,
INVENTORY_ACTION_EQUIP_CONFIRM,Equip?,Équiper ?,Equipaggiare?,そうびする？,장비할까?,¿Equipar?,¿Equipar?,Equipar?,Ekwipować?,Ausrüsten?,Сразу экип.?,Спорядити?,要装备吗？,
INVENTORY_ACTION_SWAP_CONFIRM,Swap?,Échanger ?,Scambiare?,いれかえる？,건네줄까?,¿Intercambiar?,¿Intercambiar?,Trocar?,Zamienić?,Geben?,Обменять?,Замінити?,要替换吗？,
INVENTORY_ACTION_DROP_CONFIRM,Drop?,Jeter ?,Buttare?,すてる？,버릴까?,¿Soltar?,¿Tirar?,Jogar fora?,Wyrzucić?,Wegwerfen?,Выбросить?,Викинути?,要丢弃吗？,
INVENTORY_ITEM_USES_TOTAL,{value} uses.,{value} utilisations.,{value} utilizzi.,{value}かい,{value}회 사용 가능.,{value} usos.,{value} usos.,{value} usos.,{value} uży{v1}.,{value} Verwendungen.,Используется {value} раз{v2}.,{value} використан{v2}.,可用{value}次。,
INVENTORY_ITEM_USES_LEFT,{value} use{v0} left.,{value} utilisation{v0} restante{v0}.,{value} utilizz{v0} rimast{v0}.,のこり{value},{value}회 사용 가능.,{value} uso{v0} restante{v0}.,Queda{v1} {value} uso{v0}.,{value} uso{v0} restante{v0}.,Pozostał{v0} {value} uży{v1}.,{value} Verwendung{v0} übrig.,Ещё {value} использовани{v3}.,Ще {value} використан{v2}.,剩余{value}次。,
ATM_BALANCE,Balance,Solde,Saldo,ザンダカ,잔액,Saldo,Saldo,Saldo,Saldo,Kontostand,Баланс,Рахунок,余额,
ATM_ONHAND,On Hand,En main,Contanti,テモチ,소지금,En mano,En mano,Na mão,Przy sobie,Zur Hand,На руках,На руках,持有,
ATM_WITHDRAW,Withdraw,Retirer,Ritira,ヒキダス,출금,Retirar,Retirar,Sacar,Wypłata,Abheben,Снять,Вивести,取款,
ATM_DEPOSIT,Deposit,Déposer,Deposita,アズケイレ,입금,Depositar,Ingresar,Depositar,Wpłata,Einzahlen,Внести,Покласти,存款,
SHOP_SHOP,Shop,Magasin,Negozio,ショップ,가게,Tienda,Tienda,Loja,Sklep,Laden,Магазин,Магазин,商店,
SHOP_BUY,Buy,Acheter,Compra,かう,구매,Comprar,Comprar,Comprar,Kup,Kaufen,Купить,Придбати,购买,
SHOP_SELL,Sell,Vendre,Vendi,うる,판매,Vender,Vender,Vender,Sprzedaj,Verkaufen,Продать,Продати,出售,
SHOP_ASK_BUY,Buy {i3}{item}?,Acheter {i3}{item} ?,Compri {i3}{item}?,{item}を　かいますか？,{item}{i2} 구매하시겠습니까?,¿Comprar {i3}{item}?,¿Quieres comprar {i3}{item}?,Comprar {i3}{item}?,Kupić {i3}?,{i5}{item} kaufen?,Купить {i3}?,Купити {i3}?,要购买{i3}{item}吗？,
SHOP_ASK_EQUIP,Equip now?,Équiper {i1}{item} ?,Equipaggi subito?,そうびしますか？,지금 장비하시겠습니까?,¿Equipar ahora?,¿Quieres equipártel{i5} ahora?,Equipar de uma vez?,Ekwipować teraz?,Direkt ausrüsten?,Сразу экипироваться?,Одразу обладнати?,现在要装备吗？,
SHOP_ASK_SELL_OLD,Sell your old {item}?,Revendre {i7}{item} ?,Vendi {i1}{item} vecchi{i5}?,そうびしていた　{item}を　うりますか？,낡은 {item}{i2} 판매하시겠습니까?,¿Revender tu{i6} {item}?,¿Quieres vender tu{i6} {item}?,Vender {i1}{item} que você tinha?,Odsprzedać {i3}?,{i7}{i11} {item} verkaufen?,Продать {i3}?,Продати {i3}?,要出售你的旧{item}吗？,
SHOP_ASK_SELL,Sell your {item}?,Vendre {i7}{item} ?,Vendi {i7} tu{i5} {item}?,{item}を　うりますか？,{item}{i2} 판매하시겠습니까?,¿Vender tu{i6} {item}?,¿Quieres vender tu{i6} {item}?,Vender {i1}{i7}{item}?,Sprzedać {i3}?,{i7}{item} verkaufen?,Продать {i3}?,Продати {i3}?,要出售你的{item}吗？,
SHOP_ASK_SELL_FOR_SPACE,Your inventory is full.\nSell your {item}?,Votre inventaire est plein.\nVendre {i7}{item} ?,Inventario pieno.\nVendi {i1}{item}?,バッグが　いっぱいです。\n{item}を　うりますか？,가방이 가득 찼습니다.\n{item}{i2} 판매하시겠습니까?,Tu inventario está lleno.\n¿Vender tu{i6} {item}?,Tu inventario está lleno.\n¿Quieres vender tu{i6} {item}?,Seu inventário está cheio.\nVender {i1}{i7}{item}?,Twój ekwipunek jest pełny.\nSprzedać {i3}?,Dein Inventar ist voll.\n{i7}{item} verkaufen?,У тебя нет места.\nПродать {i3}?,Ваш інвентар повний.\nПродати {i3}?,你的库存已满。\n要出售你的{item}吗？,
SHOP_ASK_SELL_FOR_CASH,You don't have enough cash.\nSell something?,Vous n'avez pas assez d'argent.\nVendre quelque chose ?,Non hai abbastanza soldi.\nVuoi vendere qualcosa?,おかねが　たりません。\nなにか　うりますか？,현금이 부족합니다.\n무언가 판매하시겠습니까?,No tienes suficiente dinero.\n¿Vendes algo?,No tienes dinero suficiente.\n¿Quieres vender algo?,Você não tem o suficiente.\nVender alguma coisa?,Nie masz wystarczającej ilości\ngotówki. Sprzedać coś?,Du hast nicht genug Geld.\nWillst du was verkaufen?,У тебя недостаточно денег.\nХочешь продать что-нибудь?,У вас недостатньо коштів.\nПродати щось?,你没有足够的现金。\n要出售些物品吗？,
TRANSACTION_ASK_UNEQUIP,Unequip {i1}{item}?,Retirer {i1}{item} équipé{i5} ?,Rimuovi {i1}{item}?,{item}を　はずしますか？,{item}{i2} 해제하겠습니까?,¿Desequipar {i1}{item}?,¿Quieres quitarte {i1}{item}?,Desequipar {i1}{item}?,Zdjąć {i3}?,{i7}{item} ablegen?,Убрать {i3}?,Роззброїти {i3}?,要卸下{i1}{item}吗？,
TRANSACTION_FULL,Your inventory is full.,Votre inventaire est plein.,Inventario pieno.,バッグが　いっぱいです。,가방이 가득 찼습니다.,Tu inventario está lleno.,Tu inventario está lleno.,Seu inventário está cheio.,Twój ekwipunek jest pełny.,Dein Inventar ist voll.,У тебя нет места.,Ваш інвентар повний.,你的库存已满。,
TRANSACTION_STORAGE_FULL,The storage is full.,Le stockage est plein.,Deposito pieno.,あずけやが　いっぱいです。,창고가 가득 찼습니다.,El almacenamiento está lleno.,El almacén está lleno.,O armário está cheio.,Magazyn jest pełny.,Das Lager ist voll.,Больше нет места.,Ваш склад повний.,寄存已满。,
PSI_WHOM,To whom?,À qui ?,A chi?,だれに？,누구에게?,¿A quién?,¿A quién?,A quem?,Komu?,Auf wen?,Кому?,Кому?,给谁？,
PSI_CONFIRM,You sure?,Êtes-vous sûr ?,Confermi?,ほんとうに？,확실합니까?,¿Estás seguro?,¿Estás seguro?,Tem certeza?,Na pewno?,Sicher?,Точно?,Впевнені?,你确定吗？,
PSI_PP_NOTENOUGH,Not enough PP!,Pas assez de PP ¦,Non hai abbastanza PP!,ＰＰがたりない。,PP가 부족합니다!,¡No hay suficiente PP!,¡No tienes suficientes PP!,PP insuficiente!,Za mało PP!,Nicht genug PP!,Недостаточно ОП!,Недостатьно ОП!,没有足够的PP！,
PSI_HP_MAXEDOUT,{target}'s HP was maxed out!,Tous les PV {t4}{target} ont été récupérés ¦,{target} recupera tutti i PS!,{target}の　ＨＰがまんたんになった！,{target}의 HP가 가득 찼다!,¡Los PV {t4}{target} están al máximo!,¡Los PV {t4}{target} están al máximo!,O HP de {target} foi completamente recuperado!,HP {t1} zostało wypełnione!,KP von {target} sind voll!,{target} полностью восстановил{t6} здоровье!,ОЗ {t1} повністю відновлено!,{target}的HP回满了！,
PSI_HP_RECOVERED,{target} recovered {value} HP!,{target} récupère {value} PV ¦,{target} recupera il {value} dei PS!,{target}は　ＨＰを{value}　かいふくした！,{target}의 HP가 {value} 회복되었다!,¡{t0}{target} recuperó {value} PV!,¡{t0}{target} ha recuperado {value} PV!,{target} recuperou {value} HP!,{target} odzyskał{t4} {value} HP!,{target} heilte {value} KP!,{target} восстановил{t6} {value} ОЗ!,{target} віднови{t6} {value} ОЗ!,{target}回复了{value}点HP！,
PSI_STATUS_HEALED,{target} was healed of {0}!,{target} n'est plus {0} ¦,{target} guarisce da {0}!,{target}は　{0}から　かいふくした！,{target}(이)가 {0} 회복되었다!,¡{t0}{target} ha sido curad{t6} {0}!,¡{t0}{target} ha sido curad{t6} {0}!,{target} foi curad{t4} {0}!,{target} został{t4} wyleczon{t5} z {0}!,{t11} {0} wurde geheilt!,{target} избавил{t8} от {0}!,{target} вилікува{t6}ся від {0}!,{target}的异常状态消失了！,
PSI_STATUS_FULL,{target} was healed of all statuses!,{target} est guéri{t6} de toutes ses altérations d'état ¦,{target} guarisce da tutti gli stati alterati!,{target}の　じょうたいいじょうが　きえた！,{target}의 상태가 완전히 회복되었다!,¡{t0}{target} fue curad{t6} de todos sus estados!,¡{t0}{target} ha sido curad{t6} de todos sus estados!,{target} foi curad{t4} de todas as condições!,{target} został{t4} wyleczon{t5} ze swoich statusów!,{t11} ganzen Zustände wurden geheilt!,{target} избавил{t8} от всех недугов!,{target} вилікува{t6}ся від усіх недуг!,{target}的异常状态消失了！,
TELEPORT_WHERE,Where to?,Où ça ?,Dove?,どこに？,어디로?,¿A dónde?,¿A dónde?,Para onde?,Dokąd?,Wohin?,Куда?,Куди?,去哪？,
TITLE_FNKEYS,{0} – Fullscreen\n{1} – Window Size,{0} – Plein écran\n{1} – Taille de la fenêtre,{0} – Schermo intero\n{1} – Risoluzione,{0}　フルスクリーン　\n{1}　ウィンドウサイズ,{0} – 전체 화면\n{1} – 창 모드,{0} – Pantalla completa\n{1} – Tamaño de ventana,{0} – Pantalla completa\n{1} – Tamaño de ventana,{0} – Tela cheia\n{1} – Ajustar janela,{0} – Pełny ekran\n{1} – Rozmiar okna,{0} – Vollbild/Fenster\n{1} – Fenstergröße,{0} — полноэкранный режим\n{1} — размер окна,{0} — Повноекранний режим\n{1} — Розмір вікна,{0} – 全屏\n{1} – 窗口大小,
TITLE_FULLSCREEN,Fullscreen,Plein écran,Fullscreen,Fullscreen,전체 화면,Pantalla completa,Pantalla completa,Tela Cheia,Pełny Ekran,Vollbild,Полноэкранный режим,Повноекранний режим,全屏,
TITLE_WINDOW_SIZE,Window Size,Taille de la fenêtre,Window Size,Window Size,창 크기,Tamaño de ventana,Tamaño de ventana,Tamanho da Tela,Rozmiar Okna,Fenstergröße,Размер окна,Розмір вікна,窗口大小,
TITLE_DEMO,Demo,Démo,Demo,DEMO Ver.,Demo,Demo,Demo,Demo,Demo,Demo,Демоверсия,Демо,演示版,
TITLE_INTRO_1,Originally Produced by,Initialement produit par,Originariamente prodotto da,Originally Produced by,Originally Produced by,Originalmente producido por,Producido originalmente por,Produzido originalmente pela,Oryginalnie wyprodukowane przez,Original produziert von,Оригинальный издатель,Оригінал створено,原出品方,
TITLE_INTRO_2,Originally Presented by,Initialement présenté par,Originariamente presentato da,Originally Presented by,Originally presented by,Originalmente presentado por,Presentado originalmente por,Apresentado originalmente por,Oryginalnie zaprezentowane przez,Original präsentiert von,Автор оригинальной идеи,Оригінал представив,原制作者,
TITLE_INTRO_3,Presented by,Présenté par,Presentato da,Presented by,Presented by,Presentado por,Presentado por,Apresentado por,Zaprezentowane przez,Präsentiert von,представляет,представляє,重构呈现,
TITLE_INTRO_SWAP_LINES,",,",",,",",,",",,",",,",",,",",,",",,",",,",",,",",,yes",",,yes",，，,
TITLE_ACT,Act %s,Acte %s,Act %s,Act %s,%s 막,Acto %s,Acto %s,%sº Ato,Akt %s,Akt %s,Акт %s,Акт %s,第%s幕,
OPTIONS_FILESETTINGS,File Settings,Configuration de la sauvegarde,Impostazioni della partita,こじん　せってい,파일 설정,Ajustes de archivo,Configuración del archivo,Preferências,Ustawienia pliku,Dateieinstellungen,Стиль игры,Налаштування збереження,存档设置,
OPTIONS_SETTINGS,Settings,Réglages,Impostazioni,オプション,설정,Ajustes,Ajustes,Configurações,Ustawienia,Einstellungen,Настройки,Налаштування,游戏设置,
OPTIONS_VIEWCREDITS,View Credits,Crédits,Titoli di coda,スタッフロールをみる,크레딧 보기,Ver créditos,Ver créditos,Ver os créditos,Twórcy,Credits Anschauen,Авторы,Титри,播放职员表,
OPTIONS_VIEWCREDITSACT1,ACT 1,Acte 1,ATTO 1,ACT 1,1막,ACTO 1,ACTO 1,1º ATO,AKT 1,AKT 1,Авторы АКТА 1,АКТ 1,第1幕,
OPTIONS_VIEWCREDITSACT2,ACT 2,Acte 2,ATTO 2,ACT 2,2막,ACTO 2,ACTO 2,2º ATO,AKT 2,AKT 2,Авторы АКТА 2,АКТ 2,第2幕,
OPTIONS_VIEWCREDITSFULL,Full Credits,Crédits complets,Titoli di coda completi,ぜんたい,전체 크레딧,Créditos completos,Créditos completos,Todos os créditos,Pełna Lista,Alle Credits,Полный список,Повні титри,全职员表,
OPTIONS_TITLESCREEN,Return to Title Screen,Retour à l'écran-titre,Torna allo schermo del titolo,タイトルへもどる,타이틀로 돌아가기,Volver a la pantalla de inicio,Volver a la pantalla de título,Voltar à tela de início,Powrót do ekranu tytułowego,Zum Titelbildschirm zurückkehren,Вернуться на главный экран,Повернутися до головного меню,返回标题界面,
OPTIONS_QUIT,Close Game,Quitter le jeu,Chiudi il gioco,ゲームしゅうりょう,게임 종료,Cerrar el juego,Cerrar el juego,Fechar o jogo,Zamknij grę,Spiel beenden,Выйти из игры,Закрити гру,关闭游戏,
OPTIONS_RESOLUTION,Window Resolution,Définition,Risoluzione,かいぞうど,해상도,Resolución,Resolución,Resolução da tela,Rozdzielczość okna,Fensterauflösung,Разрешение окна,Розширення вікна,窗口分辨率,
OPTIONS_FULLSCREEN,Fullscreen,Plein écran,Schermo intero,フルスクリーン,전체 화면,Pantalla completa,Pantalla completa,Tela cheia,Pełny ekran,Vollbild,Полноэкранный режим,Повний екран,全屏,
OPTIONS_INTEGER_SCALING,Integer Scaling,Mise à l’échelle entière,Integer scaling,ドットバイドット,정수 스케일링,Escalado por enteros,Escalado por enteros,Escala inteira,Skalowanie całkowite,Pixelgenaue Sklalierung,Ровное масштабир.,Цілочисельне масштаб.,整倍缩放,
OPTIONS_VSYNC,VSync,Synchronisation verticale,Sincronizzazione verticale,V-Sync,수직 동기화,Sincronización vertical,Sincronización vertical,,V-Sync,V-Sync,Вертик. синхронизация,Вертикальна синхр.,垂直同步,
OPTIONS_LANGUAGE,Language,Langue,Lingua,げんご,언어,Idioma,Idioma,Idioma,Język,Sprache,Язык,Мова,语言,
OPTIONS_LANGUAGE_EN,English,,,,,,,,,,,,,
OPTIONS_LANGUAGE_FR,Français,,,,,,,,,,,,,
OPTIONS_LANGUAGE_ES,Español latino,,,,,,,,,,,,,
OPTIONS_LANGUAGE_ES_ES,Español castellano,,,,,,,,,,,,,
OPTIONS_LANGUAGE_JA,にほんご,,,,,,,,,,,,,
OPTIONS_LANGUAGE_KO,한국어,,,,,,,,,,,,,
OPTIONS_LANGUAGE_IT,Italiano,,,,,,,,,,,,,
OPTIONS_LANGUAGE_PL,Polski,,,,,,,,,,,,,
OPTIONS_LANGUAGE_PT_BR,Português brasileiro,,,,,,,,,,,,,
OPTIONS_LANGUAGE_DE,Deutsch,,,,,,,,,,,,,
OPTIONS_LANGUAGE_RU,Русский,,,,,,,,,,,,,
OPTIONS_LANGUAGE_UK,Українська,,,,,,,,,,,,,
OPTIONS_LANGUAGE_ZH_HANS_CN,Chinese,,,,,,,,,,,,,
OPTIONS_LANGUAGE_PR,English,,,,,,,,,,,,,
LANGUAGE_CODE,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,,pr
OPTIONS_TITLESCREEN_CONFIRM,Return to title screen?\nAny unsaved progress will be lost.,Retourner à l'écran-titre ?\nToute progression non sauvegardée sera perdue.,Tornare allo schermo del titolo?\nI progressi non salvati saranno perduti.,タイトルに　もどりますか？\nほぞんされていない　データは　うしなわれます。,타이틀로 돌아가시겠습니까?\n저장되지 않은 파일은 사라집니다.,¿Volver a la pantalla de inicio?\nSe perderá el progreso que no haya sido guardado.,¿Quieres volver a la pantalla de título?\nSe perderá el progreso no guardado.,Tem certeza?\nQualquer progresso não salvo será perdido.,Wrócić do ekranu tytułowego?\nUtracisz wszelkie niezapisane postępy.,Zum Titelbildschirm zurückkehren?\nJeglicher ungespeicherter Fortschritt geht verloren.,Вернуться на главный экран?\nВесь несохранённый прогресс будет утерян.,Повернутися до головного меню?\nУвесь незбережений прогрес буде втрачено.,返回标题画面？\n任何未保存的进度将会丢失。,
OPTIONS_QUIT_CONFIRM,Close the game?\nAny unsaved progress will be lost.,Quitter le jeu ?\nToute progression non sauvegardée sera perdue.,Chiudere il gioco?\nI progressi non salvati saranno perduti.,ゲームを　しゅうりょうしますか？\nほぞんされていない　データは　うしなわれます。,게임을 종료하시겠습니까?\n저장되지 않은 파일은 사라집니다.,¿Cerrar el juego?\nSe perderá el progreso que no haya sido guardado.,¿Quieres cerrar el juego?\nSe perderá el progreso no guardado.,Tem certeza?\nQualquer progresso não salvo será perdido.,Zamknąć grę?\nUtracisz wszelkie niezapisane postępy.,Das Spiel beenden?\nJeglicher ungespeicherter Fortschritt geht verloren.,Выйти из игры?\nВесь несохранённый прогресс будет утерян.,Закрити гру?\nУвесь незбережений прогрес буде втрачено.,关闭游戏？\n任何未保存的进度将会丢失。,
OPTIONS_VOLUME,Volume,Volume,Volume,おんりょう,볼륨,Volumen,Volumen,Volume,Głośność,Lautstärke,Громкость,Гучність,音量,
OPTIONS_VOLUME_MASTER,Master Volume,Volume principal,Volume principale,おんりょう,전체 음량,Volumen general,Volumen general,Volume geral,Głośność,Gesamtlautstärke,Общий,Загальна гучність,主音量,
OPTIONS_VOLUME_MUSIC,Music Volume,Volume des musiques,Volume della musica,ＢＧＭおんりょう,배경음 음량,Volumen de la música,Volumen de música,Volume da música,Głośność muzyki,Musik,Музыка,Музика,音乐音量,
OPTIONS_VOLUME_SFX,SFX Volume,Volume des bruitages,Volume degli effetti,ＳＥおんりょう,효과음 음량,Volumen de efectos,Volumen de efectos,Volume de efeitos,Głośność dźwięków,Soundeffekte,Эффекты,Звук,音效音量,
OPTIONS_VIDEO,Video Settings,Réglages vidéo,Impostazioni video,グラフィックせってい,비디오 설정,Ajustes de vídeo,Ajustes de vídeo,Configurações de vídeo,Ustawienia wideo,Videoeinstellungen,Видео,Вiдео,画面设置,
